N,backend,mean_time
50,python,2.3777932880911976
50,cython,0.024940140079706907
50,c,0.024342609802260995
50,cpp,0.023121697129681706
50,python,2.5851506921462715
50,cython,0.02339962311089039
50,c,0.021880715154111385
50,cpp,0.023887419141829014
100,python,9.01561889378354
100,cython,0.10615209979005158
100,c,0.11884404486045241
100,cpp,0.1289496668614447
100,python,10.085869861999527
100,cython,0.10889255511574447
100,c,0.11155526293441653
100,cpp,0.14337026700377464
200,python,36.804718850879
200,cython,0.541714278049767
200,c,0.5320875600446016
200,cpp,0.5895952060818672
200,python,36.237379560945556
200,cython,0.5388022980187088
200,c,0.5065996199846268
200,cpp,0.5902803798671812
