N,degree,n_edges,density,mean_time,std_time,min_time,max_time,n_measures
500,2,1000,0.004,0.06733570558329423,0.09434733364034865,0.0005833292379975319,0.2007629768922925,3
1000,10,10000,0.01,0.0005916440859436989,3.4583871780088044e-05,0.0005668578669428825,0.0006405515596270561,3
5000,250,1250000,0.05,0.002360962020854155,0.0007673547261029123,0.0014273598790168762,0.0033068666234612465,3
10000,1000,10000000,0.1,0.004577605053782463,0.00035902795691023285,0.004185407422482967,0.0050529660657048225,3
20000,4000,80000000,0.2,0.02751117975761493,0.0009651444367341336,0.026149972341954708,0.028278912417590618,3
30000,9000,270000000,0.3,0.21849710463235775,0.018535484723077988,0.19277868513017893,0.23574590031057596,3
40000,16000,640000000,0.4,0.45782488863915205,0.03707100540145193,0.4173699878156185,0.5069303568452597,3
