N,backend,mean_time
50,python,2.4456529779708944
50,cython,0.027113983989693224
50,c,0.013824377965647727
50,cpp,0.015620973950717598
50,python,2.4487342030042782
50,cython,0.02600388997234404
50,c,0.012256785994395614
50,cpp,0.014022890012711287
100,python,9.70366700500017
100,cython,0.12117383099393919
100,c,0.020977014966774732
100,cpp,0.02677076600957662
100,python,9.283509761968162
100,cython,0.12254595395643264
100,c,0.02213866199599579
100,cpp,0.028043126047123224
100,python,10.465838103089482
100,cython,0.8046921279747039
100,c,0.26971559203229845
100,cpp,0.2854422549717128
100,python,10.533315840992145
100,cython,0.45190833508968353
100,c,0.33205567894037813
100,cpp,0.3487170849693939
100,python,9.728825162048452
100,cython,0.39908188791014254
100,c,0.025443178950808942
100,cpp,0.04635461594443768
500,python,252.5931156569859
500,cython,3.6568843820132315
500,c,3.61065167398192
500,cpp,3.694976476021111
500,python,249.80580742296297
500,cython,1.076174030895345
500,c,0.6419131550937891
500,cpp,0.6502115048933774
