N,mean_time,std_time,min_time,max_time,n_measures
500,0.020328012062236667,0.01177452547987944,0.0007335320115089417,0.03184604458510876,4
1000,0.0007732841186225414,3.611974650123686e-05,0.0007388107478618622,0.0008332617580890656,4
5000,0.08498822781257331,0.09044657849772084,0.025854727253317833,0.2414256939664483,4
10000,0.04888699599541724,0.0017304883763499543,0.046608736738562584,0.05147207248955965,4
20000,0.09228526032529771,0.002898664001715852,0.08983057551085949,0.09720047377049923,4
30000,0.14261914580129087,0.0026155587569768376,0.13935585413128138,0.14525067806243896,4
40000,0.18692927923984826,0.002475022908724634,0.18394271656870842,0.19082197919487953,4
100000,0.47598682693205774,0.0077781848614408055,0.46479853615164757,0.486419596709311,4
300000,1.5177073755767196,0.02416462977269465,1.4776201443746686,1.5397986304014921,4
1000000,5.0448044335935265,0.019106083146545588,5.017612216062844,5.0643101176247,4
2000000,9.987376764416695,0.08378690756742699,9.867696983739734,10.085559542290866,4
5000000,25.24574655573815,0.0928633369942363,25.11043004412204,25.37048185709864,4
