N,steps,bytes_per_element,adjacency_MB,omega_MB,theta0_MB,output_MB,total_GPU_memory_MB
500,50,4,1.000,0.002,0.002,0.097,1.101
1000,50,4,4.000,0.004,0.004,0.194,4.203
5000,50,4,100.000,0.020,0.020,1.020,101.060
10000,50,4,400.000,0.040,0.040,2.040,402.120
20000,50,4,1600.000,0.080,0.080,4.080,1604.240
30000,50,4,3600.000,0.120,0.120,6.120,3606.360
40000,50,4,6400.000,0.160,0.160,8.160,6408.480
