N,degree,mean_time,std_time,min_time,max_time,n_measures
500,50,0.008272463455796242,0.002105000833342929,0.006866335403174162,0.011894842144101858,4
1000,50,0.01551036024466157,0.0018312575037889394,0.013544912915676832,0.01812678389251232,4
2000,50,0.027598285698331892,0.003053310963758613,0.025427245069295168,0.03286233497783542,4
5000,50,0.09431666904129088,0.006682829417006072,0.08697550790384412,0.10510471416637301,4
10000,50,0.30543882527854294,0.01775339752571062,0.27495907014235854,0.31918900180608034,4
20000,50,0.9914135284489021,0.03399726262575879,0.9588744109496474,1.0395953659899533,4
50000,50,2.65716999117285,0.09061143059623626,2.502731558866799,2.7277621147222817,4
80000,50,4.268941255053505,0.06324113826684757,4.162685751914978,4.329438060987741,4
100000,50,5.4218441080302,0.039438877734989476,5.372771578840911,5.466051949188113,4
200000,50,13.482200226164423,0.27926451158256305,13.14911561878398,13.857382538728416,4
800000,50,49.52076010953169,0.10845036773740967,49.41312607889995,49.701604440808296,4
1000000,50,64.00182413624134,1.109718569331804,63.25468876492232,65.913317814935,4
