N,mean_time,std_time,min_time,max_time,n_measures
100,0.14247822551988065,0.23709582582214855,0.0055490341037511826,0.5531402388587594,4
500,0.05509561824146658,9.76088829316081e-05,0.05499476287513971,0.055227640084922314,4
1000,0.10967956529930234,0.0001516569545188775,0.1094908220693469,0.1099137207493186,4
2000,0.21831567434128374,0.00018929305503747248,0.21804277505725622,0.21855832310393453,4
5000,0.5735412914073095,0.009328781774586407,0.560263582970947,0.5823343051597476,4
10000,2.1822727768449113,0.007793490877815098,2.1762625980190933,2.1954749412834644,4
20000,8.699305599089712,0.019318244625413622,8.666527401190251,8.714713561348617,4
