N,degree,n_edges,mem_before_mb,mem_after_mb,mem_delta_mb
500,10,5000,,,
1000,10,10000,,,
5000,10,50000,,,
10000,10,100000,,,
20000,10,200000,,,
30000,10,300000,,,
40000,10,400000,,,
100000,10,1000000,,,
300000,10,3000000,,,
1000000,10,10000000,,,
