
NOTICE: Existing SQLite export found: /tmp/nsys-report-cc6c.sqlite
        It is assumed file was previously exported from: /tmp/nsys-report-cc6c.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/nsys-report-cc6c.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-armv8/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
99.9,530044896,84,6310058.3,8064.0,352,90722944,17646242.2,[CUDA memcpy Host-to-Device]
0.1,562752,28,20098.3,13088.0,4512,54080,16414.3,[CUDA memcpy Device-to-Host]

