N,mean_time,std_time,min_time,max_time,n_measures
500,0.06669766479171813,0.09678845102303975,0.010788514278829098,0.2343401750549674,4
1000,0.021406254265457392,0.000353683630197724,0.021190953440964222,0.02201863471418619,4
5000,0.11887420434504747,0.001883228185008694,0.11641184519976377,0.12171128205955029,4
10000,0.2747516958042979,0.006052391720972502,0.2702515786513686,0.2851472357288003,4
20000,1.04305650270544,0.01693166820143058,1.0277969865128398,1.0717516206204891,4
30000,1.9196791108697653,0.03560109865346671,1.8813250977545977,1.9779845206066966,4
40000,4.391000655014068,0.021668685509445187,4.363661545328796,4.414276488125324,4
