N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,python,1,0.03415580722503364,0.002739500996061298,0.030343239195644855,0.03687443281523883,4
50,cython,1,0.0010097054182551801,0.001246399035969242,0.0002862389665096998,0.0031685198191553354,4
50,c,1,0.0008343840017914772,0.0008860000578885868,0.00030296389013528824,0.0023685379419475794,4
50,cpp,1,0.0008162686717696488,0.0009179156979014963,0.0002831178717315197,0.0024061379954218864,4
100,python,1,0.11081207677489147,0.021131589377002522,0.0928776920773089,0.14685987401753664,4
100,cython,1,0.0009434815729036927,4.275076679228259e-05,0.0009131401311606169,0.001017129048705101,4
100,c,1,0.0010723710292950273,0.00012870228800437985,0.0009505420457571745,0.0012793329078704119,4
100,cpp,1,0.0009294792544096708,2.8662563606435744e-05,0.0009119699243456125,0.0009790901094675064,4
200,python,1,0.3875030970084481,0.016276261617845893,0.36004083999432623,0.4026579458732158,4
200,cython,1,0.004194112028926611,3.609338061569641e-05,0.004132773028686643,0.0042218470480293036,4
200,c,1,0.003920045972336084,0.0001125859898949744,0.0037635010667145252,0.004068744834512472,4
200,cpp,1,0.0038512895116582513,6.940563605722152e-05,0.0037567210383713245,0.003922777017578483,4
500,python,1,2.0164599010022357,0.03982248561985034,1.9512256919406354,2.055770912906155,4
500,cython,1,0.017629223002586514,0.0006507148919793694,0.01693561882711947,0.018358618021011353,4
500,c,1,0.014334730163682252,0.00033940908518203123,0.013941146899014711,0.014838337898254395,4
500,cpp,1,0.01371133851353079,0.00040998976404397884,0.013358046067878604,0.014387984061613679,4
800,python,1,5.074732155131642,0.331015426740756,4.662647937890142,5.520783492829651,4
800,cython,1,0.044349126459565014,0.004969331362914784,0.0394390148576349,0.051914785988628864,4
800,c,1,0.03475929441628978,0.004543451906408564,0.03118633385747671,0.04254970303736627,4
800,cpp,1,0.03206929162843153,0.0011802756182586955,0.030297882854938507,0.03349184594117105,4
1000,python,1,7.803398238786031,0.28436146205483087,7.491449747933075,8.265100565040484,4
1000,cython,1,0.05510265380144119,0.002150668445406241,0.05360691621899605,0.0587920059915632,4
1000,c,1,0.04663977422751486,0.0015514715956743775,0.045447782846167684,0.049305099062621593,4
1000,cpp,1,0.04522895719856024,0.0016657233368201044,0.04385833698324859,0.047972382977604866,4
