N,backend,mean_s,std_s,min_s,max_s,n_measures

100,python,0.0014322841889224946,0.00010438344643749409,0.0013539108913391829,0.0016119310166686773,4
100,cython,0.0001963531831279397,7.690820425772009e-05,0.00012938282452523708,0.0003267677966505289,4
100,c,0.00011468800948932767,9.011517167506212e-06,0.00010699895210564137,0.00012970413081347942,4
100,cpp,0.00011047330917790532,7.904359467032413e-06,0.00010412116535007954,0.0001239301636815071,4
200,python,0.0019005369395017624,0.0003375957965687849,0.0016093889717012644,0.0024692758452147245,4
200,cython,0.00021232228027656674,2.0470465680393964e-05,0.00019725295715034008,0.0002473460044711828,4
200,c,0.00021743401885032654,1.1105958092238646e-05,0.00020895712077617645,0.0002364118117839098,4
200,cpp,0.00022191472817212343,7.592638709308323e-06,0.0002134928945451975,0.00023371493443846703,4
500,python,0.002363154722843319,0.00015039161884184096,0.0021958318538963795,0.002581832930445671,4
500,cython,0.0005356077454052866,1.2928765162003279e-05,0.0005246351938694715,0.0005576689727604389,4
500,c,0.0005772282602265477,1.2432538738157513e-05,0.0005664690397679806,0.0005977449472993612,4
500,cpp,0.0006289785378612578,3.9297068746513e-05,0.0005861599929630756,0.0006877630949020386,4
800,python,0.00328885146882385,0.00017915507383818105,0.003035543020814657,0.003526021959260106,4
800,cython,0.0011552932555787265,0.0003161575574852409,0.0009537818841636181,0.0017025191336870193,4
800,c,0.0010730798239819705,3.859410757827213e-05,0.0010374339763075113,0.0011370489373803139,4
800,cpp,0.001077763270586729,2.511453528547193e-05,0.0010510149877518415,0.0011134720407426357,4
1000,python,0.003987181233242154,0.00020954552382121633,0.0037009050138294697,0.004259045934304595,4
1000,cython,0.001218980469275266,1.8426283036263856e-05,0.001190476818010211,0.001240369863808155,4
1000,c,0.0015410275082103908,0.00010685628611512703,0.0013590031303465366,0.0016290009953081608,4
1000,cpp,0.0013878894387744367,1.1833273406908436e-05,0.0013763669412583113,0.001407664967700839,4
2000,python,0.007363072189036757,0.00015625743580781923,0.007100290851667523,0.007509764051064849,4
2000,cython,0.0030513688107021153,0.00021161626260149185,0.002821672009304166,0.003346031066030264,4
2000,c,0.0029581882408820093,7.22741068159945e-05,0.0028759429696947336,0.003059820970520377,4
2000,cpp,0.002970315981656313,0.00011620284535600046,0.002848776988685131,0.0031003218609839678,4
