N,backend,mean_time
50,python,2.3777932880911976
50,cython,0.024940140079706907
50,c,0.024342609802260995
50,cpp,0.023121697129681706
50,python,2.5851506921462715
50,cython,0.02339962311089039
50,c,0.021880715154111385
50,cpp,0.023887419141829014
100,python,9.01561889378354
100,cython,0.10615209979005158
100,c,0.11884404486045241
100,cpp,0.1289496668614447
100,python,10.085869861999527
100,cython,0.10889255511574447
100,c,0.11155526293441653
100,cpp,0.14337026700377464
200,python,36.804718850879
200,cython,0.541714278049767
200,c,0.5320875600446016
200,cpp,0.5895952060818672
200,python,36.237379560945556
200,cython,0.5388022980187088
200,c,0.5065996199846268
200,cpp,0.5902803798671812
300,python,83.30392241687514
300,cython,1.2928393110632896
300,c,1.1696845630649477
300,cpp,1.321149474941194
300,python,81.96823536395095
300,cython,1.2367855401244015
300,c,1.1843549800105393
300,cpp,1.3167670569382608
150,python,20.614040168002248
150,cython,0.2931915489025414
150,c,0.3105689538642764
150,cpp,0.3335111269261688
150,python,20.498668961925432
150,cython,0.299864477943629
150,c,0.3081413870677352
150,cpp,0.33433402702212334
150,python,20.313657741062343
150,cython,0.27795933885499835
150,c,0.3095772471278906
150,cpp,0.35108708310872316
500,python,241.07243190403096
500,cython,3.475052952999249
500,c,3.325343315023929
500,cpp,3.843436006922275
500,python,229.82803506404161
500,cython,3.4639221851248294
500,c,3.333389366976917
500,cpp,3.7583327488973737
1000,python,969.3517428559717
1000,cython,14.898442724952474
1000,c,14.575828633038327
1000,cpp,16.262310922145844
