N,mean_time,std_time,min_time,max_time,n_measures
100,0.020374743035063148,0.004874140634589818,0.013584800064563751,0.027338712476193905,4
200,0.018775708274915814,0.002203355431507509,0.01606881245970726,0.021664354018867016,4
250,0.015461544739082456,0.0017452084038620701,0.013773605227470398,0.01820580568164587,4
255,0.014896824955940247,0.0009951829491020188,0.01420280709862709,0.01660582609474659,4
260,0.0017138905823230743,0.001862043091197166,0.0006326250731945038,0.004939019680023193,4
500,0.016869766637682915,0.008518651894119149,0.002512880600988865,0.024600944481790066,4
1000,0.03287498140707612,0.0037705140134441087,0.0284760482609272,0.0385378822684288,4
2000,0.1102626440115273,0.11684766801794844,0.042576770298182964,0.31264860089868307,4
5000,0.1197487972676754,0.002297825457851706,0.11674361117184162,0.12219572346657515,4
10000,0.3199108892586082,0.005429145306164481,0.3135958043858409,0.32854249980300665,4
