operation,nombre_transferts,temps_total_ns,temps_total_ms,temps_pourcent,taille_totale_MB,taille_totale_GB,taille_pourcent,taille_moyenne_MB,taille_max_MB
Host-to-Device,210,15311264,15.311,49.0,777.354,0.759,45.7,3.702,40.000
Device-to-Host,30,15904544,15.905,51.0,921.978,0.900,54.3,30.733,204.000
