timestamp,gpu_power_W,gpu_temp_C,ram_GB,temps_s
2026-11-09 15:39:06,3.153,34.625,9.787109375,0.0
2026-11-09 15:39:07,3.942,34.875,9.830078125,1.0
2026-11-09 15:39:08,3.153,34.656,9.83984375,2.0
2026-11-09 15:39:09,3.153,34.593,9.87890625,3.0
2026-11-09 15:39:10,3.153,34.687,9.87890625,4.0
2026-11-09 15:39:11,3.153,34.687,9.87890625,5.0
2026-11-09 15:39:12,3.153,34.75,9.87890625,6.0
2026-11-09 15:39:13,3.153,34.75,9.9453125,7.0
2026-11-09 15:39:14,3.153,34.781,9.9482421875,8.0
2026-11-09 15:39:15,3.153,34.75,9.9560546875,9.0
2026-11-09 15:39:16,3.153,34.781,9.9599609375,10.0
2026-11-09 15:39:17,3.153,34.781,9.96875,11.0
2026-11-09 15:39:18,3.153,34.812,9.9755859375,12.0
2026-11-09 15:39:19,3.153,34.812,9.98046875,13.0
2026-11-09 15:39:20,3.153,34.843,9.98828125,14.0
2026-11-09 15:39:21,3.153,34.875,9.9921875,15.0
2026-11-09 15:39:22,3.153,34.75,10.0,16.0
2026-11-09 15:39:23,3.153,34.75,10.0029296875,17.0
2026-11-09 15:39:24,3.153,34.937,10.0107421875,18.0
2026-11-09 15:39:25,3.153,34.75,10.0146484375,19.0
2026-11-09 15:39:26,4.336,35.0,9.8037109375,20.0
