N,backend,t1,t8,speedup,efficiency,f_serial,parallel_fraction
100,cython,0.0014308491954579,0.0059615034260787,0.24001482397856644,0.030001852997320805,-3.61875351065483,4.61875351065483
100,c,0.0013883827487006,0.0002634327975101,5.270348877676743,0.6587936097095929,0.926010560328638,0.07398943967136196
100,cpp,0.0012226062826812,0.0002312044962309,5.2879866205551815,0.6609983275693977,0.9267338383059004,0.07326616169409961
200,cython,0.0044499562354758,0.0044253094820305,1.0055694982566488,0.1256961872820811,0.006329886572511053,0.9936701134274889
200,c,0.0128874193178489,0.0007528052665293,7.942193888300604,2.1398992360375755,1.076098325221566,0.006011976278116238
200,cpp,0.0054825510014779,0.000713679997716,7.682085835421734,0.9602607294277168,0.9940880237218838,0.005911976278116238
500,cython,0.0188486630795523,0.0088472320348955,2.1304587700660362,0.26630734625825453,0.6064200341391371,0.39357996586086286
500,c,0.0148505745455622,0.0029281819588504,5.071602364284941,0.6339502955356177,0.9175127525111388,0.08248724748886116
500,cpp,0.0146918836981058,0.0026867517735809,5.46826984263026,0.6835337303287825,0.9338592009583166,0.06614079904168335
800,cython,0.0365126605029217,0.0127324239583686,2.867691228497237,0.3584614035621546,0.7443284827628561,0.2556715172371439
800,c,0.0338102147215977,0.0056261298013851,6.00949781024852,0.751187226281065,0.9526819936278464,0.047318006372153554
800,cpp,0.0321931160870008,0.0062084210803732,5.185395073922018,0.6481743842402522,0.9224579010318266,0.07754209896817343
1000,cython,0.0556765937362797,0.0208716127090156,2.6675750701444314,0.3334468837680539,0.7144316579858719,0.28556834201412806
1000,c,0.0469301582779735,0.0110966642387211,4.229213146254684,0.5286516432818354,0.8726278819202149,0.1273721180797851
1000,cpp,0.0511875042575411,0.0110810425248928,4.619376213253572,0.5774220266566965,0.8954520625828535,0.10454793741714652
