timestamp,gpu_power_W,gpu_temp_C,ram_GB,temps_s
2026-09-09 16:55:26,3.153,35.343,9.9296875,0.0
2026-09-09 16:55:27,9.856,35.906,10.1162109375,1.0
2026-09-09 16:55:28,4.73,35.187,11.4326171875,2.0
2026-09-09 16:55:29,13.404,36.562,10.474609375,3.0
2026-09-09 16:55:30,6.307,35.656,11.36328125,4.0
2026-09-09 16:55:31,3.942,35.406,12.859375,5.0
2026-09-09 16:55:32,3.153,35.281,14.349609375,6.0
2026-09-09 16:55:33,3.153,35.375,15.8515625,7.0
2026-09-09 16:55:34,3.153,35.343,14.466796875,8.0
2026-09-09 16:55:35,16.952,36.968,11.8525390625,9.0
2026-09-09 16:55:36,18.521,37.406,11.83203125,10.0
2026-09-09 16:55:37,18.521,37.75,11.8076171875,11.0
2026-09-09 16:55:38,18.127,37.906,11.802734375,12.0
2026-09-09 16:55:39,6.702,36.468,12.68359375,13.0
2026-09-09 16:55:40,3.942,36.187,14.1875,14.0
2026-09-09 16:55:41,3.153,36.0,15.66796875,15.0
2026-09-09 16:55:42,3.153,36.0,17.1591796875,16.0
2026-09-09 16:55:43,3.153,35.937,18.6455078125,17.0
2026-09-09 16:55:44,3.153,35.843,20.150390625,18.0
2026-09-09 16:55:45,3.153,35.875,21.6259765625,19.0
2026-09-09 16:55:46,3.153,35.812,23.1298828125,20.0
2026-09-09 16:55:47,3.153,35.812,24.623046875,21.0
2026-09-09 16:55:48,3.153,35.718,19.671875,22.0
2026-09-09 16:55:49,4.336,36.593,14.16015625,23.0
2026-09-09 16:55:50,21.674,38.125,14.126953125,24.0
2026-09-09 16:55:51,18.521,38.218,14.0732421875,25.0
2026-09-09 16:55:52,23.25,38.812,14.0546875,26.0
2026-09-09 16:55:53,19.704,38.906,13.98046875,27.0
2026-09-09 16:55:54,23.25,39.343,13.955078125,28.0
2026-09-09 16:55:55,20.886,39.5,13.93359375,29.0
2026-09-09 16:55:56,23.644,39.781,13.91015625,30.0
2026-09-09 16:55:57,9.063,38.062,14.5673828125,31.0
2026-09-09 16:55:58,4.336,37.531,16.041015625,32.0
2026-09-09 16:55:59,3.548,37.437,17.521484375,33.0
2026-09-09 16:56:00,3.153,37.187,18.998046875,34.0
2026-09-09 16:56:01,3.153,37.093,20.4765625,35.0
2026-09-09 16:56:02,3.153,36.906,21.958984375,36.0
2026-09-09 16:56:03,3.153,36.812,23.439453125,37.0
2026-09-09 16:56:04,3.153,36.843,24.9140625,38.0
2026-09-09 16:56:05,3.153,36.625,26.408203125,39.0
2026-09-09 16:56:06,3.153,36.656,27.888671875,40.0
2026-09-09 16:56:07,3.153,36.718,29.3740234375,41.0
2026-09-09 16:56:08,3.153,36.562,30.8564453125,42.0
2026-09-09 16:56:09,3.153,36.468,32.3349609375,43.0
2026-09-09 16:56:10,3.153,36.468,33.8251953125,44.0
2026-09-09 16:56:11,3.153,36.375,35.3076171875,45.0
2026-09-09 16:56:12,3.153,36.281,36.7861328125,46.0
2026-09-09 16:56:13,3.153,36.343,38.6513671875,47.0
2026-09-09 16:56:14,3.153,36.343,27.5849609375,48.0
2026-09-09 16:56:15,3.153,36.25,29.365234375,49.0
2026-09-09 16:56:16,14.186,38.187,16.9912109375,50.0
2026-09-09 16:56:17,22.462,38.812,16.9755859375,51.0
2026-09-09 16:56:18,23.25,39.156,16.9580078125,52.0
2026-09-09 16:56:19,15.375,38.406,16.9384765625,53.0
2026-09-09 16:56:20,8.279,38.156,16.8974609375,54.0
2026-09-09 16:56:21,22.068,39.562,16.8798828125,55.0
2026-09-09 16:56:22,23.25,39.625,16.861328125,56.0
2026-09-09 16:56:23,17.733,39.343,16.84375,57.0
2026-09-09 16:56:24,12.615,38.781,16.828125,58.0
2026-09-09 16:56:25,19.704,39.906,16.779296875,59.0
2026-09-09 16:56:26,23.25,40.25,16.763671875,60.0
2026-09-09 16:56:27,22.856,40.281,16.748046875,61.0
2026-09-09 16:56:28,14.981,39.718,16.7333984375,62.0
2026-09-09 16:56:29,13.398,40.031,16.6845703125,63.0
2026-09-09 16:56:30,22.462,40.593,16.6689453125,64.0
2026-09-09 16:56:31,23.25,40.812,16.6533203125,65.0
2026-09-09 16:56:32,16.163,40.093,16.6396484375,66.0
2026-09-09 16:56:33,9.856,39.187,16.6240234375,67.0
2026-09-09 16:56:34,5.125,38.718,10.5068359375,68.0
2026-09-09 16:56:35,3.942,38.406,10.4912109375,69.0
2026-09-09 16:56:36,3.153,38.156,10.4755859375,70.0
