N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,cython,1,0.0009353682398796082,0.0012586861084091456,0.00020297802984714508,0.003115458879619837,4
50,c,1,0.0007287715561687946,0.0008612054027583641,0.00022507715038955212,0.0022203901316970587,4
50,cpp,1,0.0007122409879229963,0.000858093261935908,0.00021355901844799519,0.002198494039475918,4
100,cython,1,0.0004552910686470568,8.896139953236214e-06,0.00044730701483786106,0.00046964804641902447,4
100,c,1,0.0005063890130259097,5.3532117043983706e-05,0.0004721109289675951,0.0005988790653645992,4
100,cpp,1,0.0004818520392291248,9.343405918054984e-06,0.0004743679892271757,0.0004978650249540806,4
200,cython,1,0.0011259331949986517,8.004278571702401e-05,0.0010559149086475372,0.0012607169337570667,4
200,c,1,0.0011236442369408906,8.511509283873852e-06,0.0011158129200339317,0.0011379821226000786,4
200,cpp,1,0.001619883463717997,0.00030481168665979016,0.0013481229543685913,0.0021053168457001448,4
500,cython,1,0.004005799535661936,0.0007084394307514382,0.0033663001377135515,0.005127809010446072,4
500,c,1,0.004180750402156264,0.00012953052562763342,0.0040797158144414425,0.004398989956825972,4
500,cpp,1,0.00434511253843084,0.00024561537154410155,0.004125811159610748,0.00474407896399498,4
800,cython,1,0.0069197925622574985,0.00015136637331048932,0.006774106994271278,0.0071459750179201365,4
800,c,1,0.007224747445434332,0.00013449060352071623,0.007024772930890322,0.007402896881103516,4
800,cpp,1,0.006759027484804392,0.00029280043485387504,0.006388155044987798,0.007131872000172734,4
1000,cython,1,0.008731356472708285,0.0002335360891155083,0.008498864946886897,0.009105623001232743,4
1000,c,1,0.00806096795713529,0.0001121234542171991,0.00797059084288776,0.008252695901319385,4
1000,cpp,1,0.008066593785770237,0.00027639267615939554,0.007825183216482401,0.008508089929819107,4
2000,cython,1,0.016721344960387796,0.0003357854542609975,0.01634234585799277,0.01723144087009132,4
2000,c,1,0.016631325474008918,0.0005604336581989533,0.01588683994486928,0.017213491955772042,4
2000,cpp,1,0.017552151170093566,0.0009850088811161018,0.01641475292854011,0.019127267878502607,4
