direction,total_MB,count,avg_MB,median_MB,min_MB,max_MB,stddev_MB
Host-to-Device,48423.408,84,576.469,0.12,0.002,6400.0,1547.191
Device-to-Host,86.904,28,3.104,2.04,0.102,8.16,2.944
