direction,time_percent,total_time_ns,count,avg_ns,median_ns,min_ns,max_ns,stddev_ns
Host-to-Device,99.9,530044896,84,6310058.3,8064.0,352,90722944,17646242.2
Device-to-Host,0.1,562752,28,20098.3,13088.0,4512,54080,16414.3
