
09-09-2026 16:55:37 RAM 12091/125749MB (lfb 306x4MB) CPU [1%@972,0%@972,3%@972,6%@972,0%@972,1%@972,3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.687C/35.687C tj@37.75C/37.75C soc012@35.375C/35.375C gpu@37.75C/37.75C soc345@37.218C/37.218C VDD_GPU 18521mW/7303mW/18521mW VDD_CPU_SOC_MSS 11034mW/8062mW/11034mW VIN_SYS_5V0 16785mW/9049mW/16785mW VIN 57996mW/29023mW/57996mW
09-09-2026 16:55:38 RAM 12086/125749MB (lfb 308x4MB) CPU [2%@972,0%@972,3%@972,14%@972,0%@972,1%@972,3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,2%@972,0%@972] cpu@35.906C/35.906C tj@37.906C/37.906C soc012@35.562C/35.562C gpu@37.906C/37.906C soc345@37.531C/37.531C VDD_GPU 18127mW/7736mW/18521mW VDD_CPU_SOC_MSS 11034mW/8181mW/11034mW VIN_SYS_5V0 16280mW/9338mW/16785mW VIN 59206mW/30184mW/59206mW
09-09-2026 16:55:39 RAM 12988/125749MB (lfb 255x4MB) CPU [2%@972,0%@972,3%@2601,67%@2601,0%@972,0%@972,3%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.687C/35.906C tj@36.468C/37.906C soc012@35.281C/35.562C gpu@36.468C/37.906C soc345@36.125C/37.531C VDD_GPU 6702mW/7698mW/18521mW VDD_CPU_SOC_MSS 7881mW/8170mW/11034mW VIN_SYS_5V0 8177mW/9295mW/16785mW VIN 24706mW/29989mW/59206mW
09-09-2026 16:55:40 RAM 14528/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,11%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.75C/35.906C tj@36.187C/37.906C soc012@35.25C/35.562C gpu@36.187C/37.906C soc345@35.906C/37.531C VDD_GPU 3942mW/7568mW/18521mW VDD_CPU_SOC_MSS 7487mW/8147mW/11034mW VIN_SYS_5V0 6451mW/9197mW/16785mW VIN 24952mW/29821mW/59206mW
09-09-2026 16:55:41 RAM 16044/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,1%@972,0%@972,11%@972,0%@972,3%@972,1%@972,0%@972,0%@972,0%@972,1%@972] cpu@35.531C/35.906C tj@36C/37.906C soc012@35.156C/35.562C gpu@36C/37.906C soc345@35.812C/37.531C VDD_GPU 3153mW/7426mW/18521mW VDD_CPU_SOC_MSS 7487mW/8125mW/11034mW VIN_SYS_5V0 6451mW/9108mW/16785mW VIN 24184mW/29645mW/59206mW
09-09-2026 16:55:42 RAM 17571/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,2%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.562C/35.906C tj@36C/37.906C soc012@35.093C/35.562C gpu@36C/37.906C soc345@35.812C/37.531C VDD_GPU 3153mW/7297mW/18521mW VDD_CPU_SOC_MSS 7490mW/8106mW/11034mW VIN_SYS_5V0 6451mW/9028mW/16785mW VIN 23360mW/29460mW/59206mW
09-09-2026 16:55:43 RAM 19093/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,1%@972,2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.437C/35.906C tj@35.937C/37.906C soc012@35.031C/35.562C gpu@35.937C/37.906C soc345@35.562C/37.531C VDD_GPU 3153mW/7178mW/18521mW VDD_CPU_SOC_MSS 7487mW/8088mW/11034mW VIN_SYS_5V0 6249mW/8948mW/16785mW VIN 24200mW/29314mW/59206mW
09-09-2026 16:55:44 RAM 20634/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,3%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.437C/35.906C tj@35.843C/37.906C soc012@35C/35.562C gpu@35.843C/37.906C soc345@35.562C/37.531C VDD_GPU 3153mW/7069mW/18521mW VDD_CPU_SOC_MSS 7487mW/8072mW/11034mW VIN_SYS_5V0 6249mW/8876mW/16785mW VIN 23856mW/29170mW/59206mW
09-09-2026 16:55:45 RAM 22145/125749MB (lfb 4x4MB) CPU [0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,8%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.343C/35.906C tj@35.875C/37.906C soc012@34.937C/35.562C gpu@35.875C/37.906C soc345@35.625C/37.531C VDD_GPU 3153mW/6969mW/18521mW VDD_CPU_SOC_MSS 7487mW/8057mW/11034mW VIN_SYS_5V0 6249mW/8808mW/16785mW VIN 24662mW/29057mW/59206mW
09-09-2026 16:55:46 RAM 23685/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,3%@972,0%@972,4%@972,2%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.312C/35.906C tj@35.812C/37.906C soc012@35.031C/35.562C gpu@35.812C/37.906C soc345@35.5C/37.531C VDD_GPU 3153mW/6876mW/18521mW VDD_CPU_SOC_MSS 7487mW/8043mW/11034mW VIN_SYS_5V0 6451mW/8751mW/16785mW VIN 24200mW/28942mW/59206mW
09-09-2026 16:55:47 RAM 25214/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,6%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.25C/35.906C tj@35.812C/37.906C soc012@34.937C/35.562C gpu@35.812C/37.906C soc345@35.562C/37.531C VDD_GPU 3153mW/6789mW/18521mW VDD_CPU_SOC_MSS 7490mW/8030mW/11034mW VIN_SYS_5V0 6350mW/8695mW/16785mW VIN 23856mW/28826mW/59206mW
09-09-2026 16:55:48 RAM 20144/125749MB (lfb 17x4MB) CPU [0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,3%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.5C/35.906C tj@35.718C/37.906C soc012@34.843C/35.562C gpu@35.718C/37.906C soc345@35.468C/37.531C VDD_GPU 3153mW/6708mW/18521mW VDD_CPU_SOC_MSS 8279mW/8036mW/11034mW VIN_SYS_5V0 8089mW/8681mW/16785mW VIN 27738mW/28802mW/59206mW
09-09-2026 16:55:49 RAM 14500/125749MB (lfb 326x4MB) CPU [0%@972,0%@972,0%@972,92%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.25C/35.906C tj@36.593C/37.906C soc012@34.968C/35.562C gpu@36.593C/37.906C soc345@36.375C/37.531C VDD_GPU 4336mW/6658mW/18521mW VDD_CPU_SOC_MSS 9063mW/8058mW/11034mW VIN_SYS_5V0 9303mW/8695mW/16785mW VIN 54590mW/29340mW/59206mW
09-09-2026 16:55:50 RAM 14466/125749MB (lfb 332x4MB) CPU [1%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@36.031C/36.031C tj@38.125C/38.125C soc012@35.593C/35.593C gpu@38.125C/38.125C soc345@37.593C/37.593C VDD_GPU 21674mW/6964mW/21674mW VDD_CPU_SOC_MSS 11822mW/8135mW/11822mW VIN_SYS_5V0 17594mW/8876mW/17594mW VIN 65314mW/30059mW/65314mW
09-09-2026 16:55:51 RAM 14411/125749MB (lfb 336x4MB) CPU [1%@972,0%@972,4%@972,12%@972,0%@1728,0%@1728,0%@972,2%@972,5%@972,2%@972,0%@972,0%@972,0%@972,0%@972] cpu@36.5C/36.5C tj@38.218C/38.218C soc012@35.968C/35.968C gpu@38.218C/38.218C soc345@37.718C/37.718C VDD_GPU 18521mW/7191mW/21674mW VDD_CPU_SOC_MSS 11822mW/8207mW/11822mW VIN_SYS_5V0 15976mW/9015mW/17594mW VIN 64650mW/30724mW/65314mW
09-09-2026 16:55:52 RAM 14392/125749MB (lfb 338x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@36.656C/36.656C tj@38.812C/38.812C soc012@36.062C/36.062C gpu@38.812C/38.812C soc345@38.281C/38.281C VDD_GPU 23250mW/7494mW/23250mW VDD_CPU_SOC_MSS 12216mW/8282mW/12216mW VIN_SYS_5V0 18475mW/9194mW/18475mW VIN 66706mW/31391mW/66706mW
09-09-2026 16:55:53 RAM 14316/125749MB (lfb 346x4MB) CPU [1%@972,0%@972,4%@972,11%@972,0%@972,0%@972,0%@972,4%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@36.812C/36.812C tj@38.906C/38.906C soc012@36.406C/36.406C gpu@38.906C/38.906C soc345@38.406C/38.406C VDD_GPU 19704mW/7716mW/23250mW VDD_CPU_SOC_MSS 11822mW/8347mW/12216mW VIN_SYS_5V0 16684mW/9330mW/18475mW VIN 64328mW/31979mW/66706mW
09-09-2026 16:55:54 RAM 14290/125749MB (lfb 350x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972] cpu@37.031C/37.031C tj@39.343C/39.343C soc012@36.718C/36.718C gpu@39.343C/39.343C soc345@38.75C/38.75C VDD_GPU 23250mW/7989mW/23250mW VDD_CPU_SOC_MSS 12216mW/8415mW/12216mW VIN_SYS_5V0 18576mW/9492mW/18576mW VIN 65602mW/32559mW/66706mW
09-09-2026 16:55:55 RAM 14268/125749MB (lfb 354x4MB) CPU [13%@972,0%@972,5%@972,0%@972,0%@972,0%@972,1%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,7%@972] cpu@37.281C/37.281C tj@39.5C/39.5C soc012@36.906C/36.906C gpu@39.5C/39.5C soc345@38.875C/38.875C VDD_GPU 20886mW/8207mW/23250mW VDD_CPU_SOC_MSS 11822mW/8472mW/12216mW VIN_SYS_5V0 17190mW/9623mW/18576mW VIN 63584mW/33076mW/66706mW
09-09-2026 16:55:56 RAM 14244/125749MB (lfb 358x4MB) CPU [1%@972,0%@972,0%@1728,1%@1728,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@37.656C/37.656C tj@39.781C/39.781C soc012@37.218C/37.218C gpu@39.781C/39.781C soc345@39.187C/39.187C VDD_GPU 23644mW/8460mW/23644mW VDD_CPU_SOC_MSS 12216mW/8534mW/12216mW VIN_SYS_5V0 18677mW/9771mW/18677mW VIN 68156mW/33641mW/68156mW
09-09-2026 16:55:57 RAM 14917/125749MB (lfb 362x4MB) CPU [57%@2601,0%@2601,6%@972,0%@972,0%@972,0%@972,0%@972,0%@972,3%@972,0%@972,1%@972,0%@972,0%@972,5%@972] cpu@37.125C/37.656C tj@38.062C/39.781C soc012@36.875C/37.218C gpu@38.062C/39.781C soc345@37.625C/39.187C VDD_GPU 9063mW/8470mW/23644mW VDD_CPU_SOC_MSS 8669mW/8536mW/12216mW VIN_SYS_5V0 9389mW/9765mW/18677mW VIN 26856mW/33535mW/68156mW
