N,backend,mean_time
50,python,2.4456529779708944
50,cython,0.027113983989693224
50,c,0.013824377965647727
50,cpp,0.015620973950717598
50,python,2.4487342030042782
50,cython,0.02600388997234404
50,c,0.012256785994395614
50,cpp,0.014022890012711287
100,python,9.70366700500017
100,cython,0.12117383099393919
100,c,0.020977014966774732
100,cpp,0.02677076600957662
100,python,9.283509761968162
100,cython,0.12254595395643264
100,c,0.02213866199599579
100,cpp,0.028043126047123224
100,python,10.465838103089482
100,cython,0.8046921279747039
100,c,0.26971559203229845
100,cpp,0.2854422549717128
100,python,10.533315840992145
100,cython,0.45190833508968353
100,c,0.33205567894037813
100,cpp,0.3487170849693939
100,python,9.728825162048452
100,cython,0.39908188791014254
100,c,0.025443178950808942
100,cpp,0.04635461594443768
500,python,252.5931156569859
500,cython,3.6568843820132315
500,c,3.61065167398192
500,cpp,3.694976476021111
500,python,249.80580742296297
500,cython,1.076174030895345
500,c,0.6419131550937891
500,cpp,0.6502115048933774
500,python,0.19841904402710497
500,cython,0.07607979502063245
500,c,0.07658973906654865
500,cpp,0.0893422799417749
500,python,0.1902040559798479
500,cython,0.11126336292363703
500,c,0.0255410959944129
500,cpp,0.06405201100278646
1000,python,0.3504583769245073
1000,cython,0.1485212550032884
1000,c,0.15181177004706115
1000,cpp,0.16005460603628308
1000,python,0.3477088970830664
1000,cython,0.23296950699295849
1000,c,0.05141217797063291
1000,cpp,0.13019991794135422
10000,cython,2.292732267989777
10000,c,0.28392767591867596
10000,cpp,1.585037307930179
10000,cython,2.346667767968029
10000,c,2.284711981075816
10000,cpp,2.2876624750206247
10000,cython,2.706985144992359
10000,c,2.5102210210170597
10000,cpp,2.533351096091792
10000,cython,2.289958546985872
10000,c,0.2920175699982792
10000,cpp,0.3524547650013119
10000,cython,2.808521886006929
10000,c,2.438382311956957
10000,cpp,2.4903873909497634
10000,cython,2.290133889997378
10000,c,0.2846836980897933
10000,cpp,0.348079273942858
10000,cython,2.313684834050946
10000,c,2.2472733450122178
10000,cpp,2.255639917915687
10000,1,cython,2.3518861749907956
10000,1,c,2.238923914032057
10000,1,cpp,2.3061334440717474
10000,8,cython,2.3020536300027743
10000,8,c,0.29170096199959517
10000,8,cpp,0.37035094609018415
10000,1,cython,2.3839487589430064
10000,1,c,2.2576720159268007
10000,1,cpp,2.306891334010288
10000,8,cython,2.2959856420056894
10000,8,c,0.2850430620601401
10000,8,cpp,0.3768618800677359
10000,1,cython,2.330733767012134
10000,1,c,2.3592942060204223
10000,1,cpp,2.290058007929474
