N,mean_time,std_time,min_time,max_time,n_measures
1000,0.029660606640391052,0.002207211448698893,0.026951414067298174,0.033097613137215376,4
2000,0.1451414031907916,0.23120992796965303,0.01087229698896408,0.5456071039661765,4
5000,0.008484090329147875,0.0056569613045252135,0.005060064140707254,0.018278265837579966,4
10000,0.006377684650942683,0.0003681495883538028,0.006017080973833799,0.006893088109791279,4
20000,0.01112215151078999,0.003934371983619783,0.008087988011538982,0.017886335961520672,4
50000,0.01449141651391983,0.0005297259151163693,0.014167800080031157,0.01540870126336813,4
100000,0.023884407011792064,0.0009551593227251263,0.02293495601043105,0.025420757941901684,4
200000,0.04485704575199634,0.0037891631174802407,0.04263074416667223,0.05141972191631794,4
500000,0.10792186227627099,0.0051571315903279945,0.09967492800205946,0.113869849126786,4
1000000,0.22714401909615844,0.003189873690290792,0.22425871202722192,0.2324530608020723,4
2000000,0.44711360265500844,0.0018681646437547015,0.44402132788673043,0.4490319639444351,4
5000000,1.1016377314226702,0.001499435347834891,1.099612410645932,1.1034421431832016,4
