09-04-2026 15:48:25 RAM 11322/125749MB (lfb 586x4MB) CPU [2%@972,0%@972,0%@972,2%@972,0%@972,0%@972,0%@972,0%@972,4%@2601,59%@2601,2%@972,1%@972,0%@972,0%@972] cpu@32.75C/32.75C tj@34.125C/34.125C soc012@34.125C/34.125C soc345@32.875C/33.812C VDD_GPU 7096mW/1699mW/13009mW VDD_CPU_SOC_MSS 8279mW/4495mW/9856mW VIN_SYS_5V0 8581mW/5847mW/13752mW VIN 26242mW/17637mW/53246mW
09-04-2026 15:48:26 RAM 12872/125749MB (lfb 199x4MB) CPU [3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@32.75C/32.75C tj@34.062C/34.125C soc012@34.062C/34.125C soc345@32.812C/33.812C VDD_GPU 3942mW/1782mW/13009mW VDD_CPU_SOC_MSS 7490mW/4605mW/9856mW VIN_SYS_5V0 6552mW/5873mW/13752mW VIN 25632mW/17923mW/53246mW
09-04-2026 15:48:27 RAM 14418/125749MB (lfb 4x4MB) CPU [6%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@32.781C/32.781C tj@34.062C/34.125C soc012@34.062C/34.125C soc345@32.625C/33.812C VDD_GPU 2759mW/1816mW/13009mW VDD_CPU_SOC_MSS 7096mW/4691mW/9856mW VIN_SYS_5V0 6350mW/5890mW/13752mW VIN 24048mW/18127mW/53246mW
09-04-2026 15:48:28 RAM 15962/125749MB (lfb 4x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@1296,0%@1296,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,2%@972] cpu@32.781C/32.781C tj@34.218C/34.218C soc012@34.093C/34.125C soc345@32.718C/33.812C VDD_GPU 2759mW/1846mW/13009mW VDD_CPU_SOC_MSS 7490mW/4782mW/9856mW VIN_SYS_5V0 6350mW/5905mW/13752mW VIN 24430mW/18324mW/53246mW
09-04-2026 15:48:29 RAM 14066/125749MB (lfb 4x4MB) CPU [2%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@33.218C/33.218C tj@33.812C/34.218C soc012@33.812C/34.125C soc345@32.718C/33.812C VDD_GPU 2759mW/1874mW/13009mW VDD_CPU_SOC_MSS 8279mW/4888mW/9856mW VIN_SYS_5V0 7887mW/5965mW/13752mW VIN 27976mW/18608mW/53246mW
09-04-2026 15:48:30 RAM 12096/125749MB (lfb 731x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,21%@972,0%@972,0%@972,0%@972,0%@972] cpu@32.906C/33.218C tj@34.812C/34.812C soc012@32.656C/34.125C soc345@34.343C/34.343C VDD_GPU 16558mW/2293mW/16558mW VDD_CPU_SOC_MSS 10644mW/5052mW/10644mW VIN_SYS_5V0 15471mW/6236mW/15471mW VIN 57810mW/19697mW/57810mW
09-04-2026 15:48:31 RAM 12099/125749MB (lfb 731x4MB) CPU [5%@972,0%@972,1%@972,3%@972,0%@972,0%@972,0%@972,0%@972,6%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@32.968C/33.218C tj@35C/35C soc012@32.875C/34.125C soc345@34.531C/34.531C VDD_GPU 16558mW/2679mW/16558mW VDD_CPU_SOC_MSS 9856mW/5182mW/10644mW VIN_SYS_5V0 14786mW/6467mW/15471mW VIN 54364mW/20609mW/57810mW
09-04-2026 15:48:32 RAM 12097/125749MB (lfb 731x4MB) CPU [4%@972,0%@972,0%@972,6%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@33.156C/33.218C tj@35.281C/35.281C soc012@33.156C/34.125C soc345@34.656C/34.656C VDD_GPU 16952mW/3045mW/16952mW VDD_CPU_SOC_MSS 10250mW/5312mW/10644mW VIN_SYS_5V0 15192mW/6691mW/15471mW VIN 54204mW/21449mW/57810mW
09-04-2026 15:48:33 RAM 12098/125749MB (lfb 732x4MB) CPU [4%@972,0%@972,1%@972,3%@972,0%@972,0%@972,1%@972,0%@972,6%@972,0%@972,1%@972,0%@972,0%@972,0%@972] cpu@33.468C/33.468C tj@35.437C/35.437C soc012@33.281C/34.125C soc345@35.125C/35.125C VDD_GPU 15769mW/3355mW/16952mW VDD_CPU_SOC_MSS 9856mW/5423mW/10644mW VIN_SYS_5V0 14561mW/6883mW/15471mW VIN 58718mW/22336mW/58718mW
09-04-2026 15:48:34 RAM 12444/125749MB (lfb 664x4MB) CPU [2%@972,0%@972,0%@972,4%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,30%@2601,0%@2601,0%@972,0%@972] cpu@33.687C/33.687C tj@34.531C/35.437C soc012@33.531C/34.125C soc345@34.031C/35.125C VDD_GPU 10250mW/3515mW/16952mW VDD_CPU_SOC_MSS 8673mW/5498mW/10644mW VIN_SYS_5V0 10701mW/6972mW/15471mW VIN 26584mW/22433mW/58718mW
