(neuromass) staki@fkolbl:~$ tegrastats
09-11-2026 15:39:17 RAM 10208/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@1188,1%@1188,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,2%@972,10%@972] cpu@35.031C/35.031C tj@35.031C/35.031C soc012@33.937C/34C gpu@34.781C/34.875C soc345@34.562C/34.562C VDD_GPU 3153mW/3255mW/3942mW VDD_CPU_SOC_MSS 7881mW/7374mW/7884mW VIN_SYS_5V0 5947mW/5968mW/6148mW VIN 25116mW/21326mW/27250mW
09-11-2026 15:39:18 RAM 10215/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,100%@2601,0%@2601,0%@972,0%@972,0%@1674,0%@1674,0%@972,6%@972] cpu@34.843C/35.031C tj@34.843C/35.031C soc012@33.937C/34C gpu@34.812C/34.875C soc345@34.5C/34.562C VDD_GPU 3153mW/3251mW/3942mW VDD_CPU_SOC_MSS 7884mW/7394mW/7884mW VIN_SYS_5V0 5846mW/5963mW/6148mW VIN 24076mW/21432mW/27250mW
09-11-2026 15:39:19 RAM 10220/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@34.906C/35.031C tj@34.906C/35.031C soc012@33.937C/34C gpu@34.812C/34.875C soc345@34.593C/34.593C VDD_GPU 3153mW/3247mW/3942mW VDD_CPU_SOC_MSS 7884mW/7413mW/7884mW VIN_SYS_5V0 5837mW/5958mW/6148mW VIN 23714mW/21513mW/27250mW
09-11-2026 15:39:20 RAM 10228/125749MB (lfb 433x4MB) CPU [3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] cpu@34.937C/35.031C tj@34.937C/35.031C soc012@33.906C/34C gpu@34.843C/34.875C soc345@34.562C/34.593C VDD_GPU 3153mW/3244mW/3942mW VDD_CPU_SOC_MSS 7884mW/7429mW/7884mW VIN_SYS_5V0 5846mW/5954mW/6148mW VIN 25386mW/21642mW/27250mW
09-11-2026 15:39:21 RAM 10232/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@35.031C/35.031C tj@35.031C/35.031C soc012@33.968C/34C gpu@34.875C/34.875C soc345@34.531C/34.593C VDD_GPU 3153mW/3241mW/3942mW VDD_CPU_SOC_MSS 7884mW/7444mW/7884mW VIN_SYS_5V0 5846mW/5951mW/6148mW VIN 25120mW/21751mW/27250mW
09-11-2026 15:39:22 RAM 10240/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,1%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] cpu@34.937C/35.031C tj@34.937C/35.031C soc012@33.906C/34C gpu@34.75C/34.875C soc345@34.625C/34.625C VDD_GPU 3153mW/3238mW/3942mW VDD_CPU_SOC_MSS 7884mW/7457mW/7884mW VIN_SYS_5V0 5846mW/5948mW/6148mW VIN 23990mW/21817mW/27250mW
09-11-2026 15:39:23 RAM 10243/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,6%@972] cpu@34.937C/35.031C tj@34.937C/35.031C soc012@34C/34C gpu@34.75C/34.875C soc345@34.562C/34.625C VDD_GPU 3153mW/3236mW/3942mW VDD_CPU_SOC_MSS 7884mW/7469mW/7884mW VIN_SYS_5V0 5837mW/5944mW/6148mW VIN 23554mW/21865mW/27250mW
09-11-2026 15:39:24 RAM 10251/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] cpu@35.031C/35.031C tj@35.031C/35.031C soc012@34.062C/34.062C gpu@34.937C/34.937C soc345@34.531C/34.625C VDD_GPU 3153mW/3234mW/3942mW VDD_CPU_SOC_MSS 7884mW/7480mW/7884mW VIN_SYS_5V0 5837mW/5942mW/6148mW VIN 23972mW/21920mW/27250mW
09-11-2026 15:39:25 RAM 10255/125749MB (lfb 433x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,9%@972] cpu@34.968C/35.031C tj@34.968C/35.031C soc012@34.062C/34.062C gpu@34.75C/34.937C soc345@34.468C/34.625C VDD_GPU 3153mW/3232mW/3942mW VDD_CPU_SOC_MSS 7884mW/7491mW/7884mW VIN_SYS_5V0 5846mW/5939mW/6148mW VIN 24714mW/21990mW/27250mW
09-11-2026 15:39:26 RAM 10039/125749MB (lfb 423x4MB) CPU [2%@972,0%@972,2%@972,8%@972,1%@972,0%@972,38%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,4%@972] cpu@33.343C/35.031C tj@35C/35.031C soc012@34C/34.062C gpu@35C/35C soc345@34.687C/34.687C VDD_GPU 4336mW/3259mW/4336mW VDD_CPU_SOC_MSS 6307mW/7462mW/7884mW VIN_SYS_5V0 6148mW/5944mW/6148mW VIN 23116mW/22017mW/27250mW
