N,backend,mean_s_1T,mean_s_8T,speedup,f_estimated,speedup_max,speedup_theorique_8T
100,cython,0.0001096840132959,0.0002165545593015,0.5064959779636478,0.0,1.0,1.0
100,c,0.0001119589433073,0.0001693104859441,0.6612640834559099,0.0,1.0,1.0
100,cpp,0.0001103648100979,0.0001887047546915,0.5848544212800976,0.0,1.0,1.0
200,cython,0.0002068817848339,0.0003861220320686,0.5357937844819602,0.0,1.0,1.0
200,c,0.0002167987404391,0.0002038302482105,1.0636239829095784,0.06836356127127122,1.073380085223542,1.0636239829095784
200,cpp,0.0002172782551497,0.0002046897425316,1.0615004565563737,0.06621404223644285,1.0709092289147584,1.0615004565563737
500,cython,0.0005688644596375,0.00075410597492,0.7543561230871411,0.0,1.0,1.0
500,c,0.0006139511824585,0.0002846139250323,2.1571368385746568,0.6130543401697187,2.5843422056694245,2.1571368385746568
500,cpp,0.0005751080461777,0.0002784642856568,2.0652847628959705,0.58949173611555,2.4360045533248513,2.06528476289597
800,cython,0.000978838535957,0.0012864604941569,0.7608772600502557,0.0,1.0,1.0
800,c,0.0010348697542212,0.0003183272201567,3.2509621819704084,0.7913128679974282,4.791862298379165,3.250962181970408
800,cpp,0.0010512139997445,0.0003591490676626,2.926957339986903,0.7523980380236379,4.038740210368234,2.926957339986903
1000,cython,0.0013958308263681,0.0014141867868602,0.9870201301110625,0.0,1.0,1.0
1000,c,0.0013547965208999,0.0004725609906017,2.8669241597256505,0.7442218531930772,3.9096381472920045,2.866924159725651
1000,cpp,0.0015335752395913,0.0006403762381523,2.3948034736831874,0.6656333725494115,2.9907290916698206,2.394803473683188
2000,cython,0.0031233124900609,0.0025337535189464,1.2326820532092064,0.21572663107449003,1.2750656080163034,1.2326820532092067
2000,c,0.0033093182719312,0.0009616926545277,3.44113917929055,0.8107412116750853,5.283770486172749,3.4411391792905515
2000,cpp,0.0033404675195924,0.0009591539856046,3.4827228679936577,0.8147066737629639,5.396848447314029,3.4827228679936573
