N,threads,backend,mean_time
50,1,c,0.3963318110909313,0.007926636221818627,
50,4,c,0.0024944578763097525,4.9889157526195047e-05,
50,8,c,0.0030028189066797495,6.005637813359499e-05,131.99
50,1,cpp,0.38588482001796365,0.007717696400359273,
50,4,cpp,0.00044329511001706123,8.865902200341225e-06,
50,8,cpp,0.00035113212652504444,7.022642530500889e-06,1098.97
100,1,c,0.000677166972309351,1.3543339446187019e-05,
100,4,c,0.000647468026727438,1.294936053454876e-05,
100,8,c,0.000634131021797657,1.268262043595314e-05,1.07
100,1,cpp,0.0006558250170201063,1.3116500340402127e-05,
100,4,cpp,0.0008223820477724075,1.644764095544815e-05,
100,8,cpp,0.0006852231454104185,1.370446290820837e-05,0.96
200,1,c,0.002132626948878169,4.265253897756338e-05,
200,4,c,0.0021444191224873066,4.2888382449746135e-05,
200,8,c,0.002132955938577652,4.265911877155304e-05,1.00
200,1,cpp,0.0023676331620663404,4.735266324132681e-05,
200,4,cpp,0.002215089974924922,4.430179949849844e-05,
200,8,cpp,0.0022852399852126837,4.570479970425367e-05,1.04
500,1,c,0.015216280007734895,0.0003043256001546979,
500,4,c,0.014545565005391836,0.00029091130010783673,
500,8,c,0.013351951027289033,0.0002670390205457807,1.14
500,1,cpp,0.016198427183553576,0.00032396854367107154,
500,4,cpp,0.0137342419475317,0.000274684838950634,
500,8,cpp,0.013650486944243312,0.0002730097388848662,1.19
800,1,c,0.03507091384381056,0.0007014182768762112,
800,4,c,0.03641827404499054,0.0007283654808998108,
800,8,c,0.03727330593392253,0.0007454661186784506,0.94
800,1,cpp,0.039964964147657156,0.0007992992829531431,
800,4,cpp,0.03673444711603224,0.0007346889423206449,
800,8,cpp,0.04043099796399474,0.0008086199592798948,0.99
1000,1,c,0.05742765893228352,0.0011485531786456704,
1000,4,c,0.05748744308948517,0.0011497488617897033,
1000,8,c,0.05588148208335042,0.0011176296416670083,1.03
1000,1,cpp,0.05911234999075532,0.0011822469998151064,
1000,4,cpp,0.05816718586720526,0.0011633437173441052,
1000,8,cpp,0.05782788200303912,0.0011565576400607825,1.02
