N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,cython,1,0.0010896912426687777,0.0012662920488065322,0.00035129208117723465,0.0032829400151968002,4
50,c,1,0.0011616767733357847,0.0013179654271099639,0.00037386687472462654,0.0034440550953149796,4
50,cpp,1,0.0010040825000032783,0.001111935115181805,0.0003563789650797844,0.002929990878328681,4
100,cython,1,0.001430849195457995,0.00020966155924984826,0.0012453400995582342,0.001786600798368454,4
100,c,1,0.0013883827487006783,0.00012062445257089579,0.0012371968477964401,0.0015361241530627012,4
100,cpp,1,0.0012226062826812267,1.7789132181192605e-05,0.0011978251859545708,0.0012431750074028969,4
200,cython,1,0.004449956235475838,0.0002637009077998267,0.004190213046967983,0.004863759968429804,4
200,c,1,0.01288741931784898,0.015699883141846647,0.0037426480557769537,0.04008007002994418,4
200,cpp,1,0.005482551001477987,0.001452362005808711,0.003934049978852272,0.007138604996725917,4
500,cython,1,0.018848663079552352,0.0010544301070027503,0.017069290159270167,0.019751786021515727,4
500,c,1,0.014850574545562267,0.0006703863447476409,0.01401342311874032,0.015879459911957383,4
500,cpp,1,0.014691883698105812,0.0014051147968986515,0.013373704859986901,0.017041824059560895,4
800,cython,1,0.03651266050292179,0.0012467210618927072,0.03512104204855859,0.0383061938919127,4
800,c,1,0.03381021472159773,0.0009324185254565623,0.03270002780482173,0.03486685105599463,4
800,cpp,1,0.03219311608700082,0.0029532173588643013,0.029840421164408326,0.037133752135559916,4
1000,cython,1,0.055676593736279756,0.002112888524574309,0.053474032087251544,0.05892250803299248,4
1000,c,1,0.04693015827797353,0.0013780854281036064,0.04476649407297373,0.048567086923867464,4
1000,cpp,1,0.05118750425754115,0.003980046455610036,0.04662434197962284,0.05517523898743093,4
